epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1042.52,0.82538,2.70799,2.03646,1.31632,0,0.45455,0.48435,0.41339,0.25399,0.45219,0.46978,0.39645,0.23207,1.08421,3.0968,1.89428,1.31643,0,0.00999596,0.00333199,0.00999596,0.00333199,0.00999596,0.00333199,0.00999596,0.00333199
2,1967.99,0.80105,2.50248,1.55705,1.29488,0,0.49026,0.5098,0.46262,0.30054,0.483,0.49503,0.44488,0.27177,1.0755,2.96245,1.76424,1.26994,0,0.019798,0.00659933,0.019798,0.00659933,0.019798,0.00659933,0.019798,0.00659933
3,2756.53,0.82113,2.53148,1.53332,1.30526,0,0.49403,0.49514,0.45891,0.30018,0.49129,0.48018,0.44093,0.27197,1.07824,2.9658,1.7197,1.26526,0,0.029402,0.00980068,0.029402,0.00980068,0.029402,0.00980068,0.029402,0.00980068
4,3546.48,0.80579,2.50385,1.49782,1.29811,0,0.52827,0.5375,0.50071,0.33668,0.52725,0.51865,0.48749,0.31292,0.993,2.7871,1.65953,1.18542,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,4337.7,0.76269,2.4255,1.42191,1.2713,0,0.54924,0.5619,0.535,0.37242,0.54041,0.55005,0.51899,0.33783,0.95303,2.71178,1.54433,1.14963,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,5124.52,0.73932,2.37278,1.37666,1.25679,0,0.57046,0.57229,0.55951,0.39632,0.56683,0.55912,0.5444,0.36187,0.91446,2.61129,1.45387,1.11085,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,5912.12,0.72623,2.33815,1.35351,1.24805,0,0.57014,0.59132,0.57252,0.41047,0.56294,0.57765,0.55553,0.37371,0.89143,2.57066,1.42999,1.09933,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,6717.76,0.71529,2.30804,1.32664,1.24051,0,0.59644,0.58789,0.58683,0.42695,0.59717,0.57149,0.57117,0.39043,0.88454,2.52589,1.39329,1.08836,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,7528.08,0.71,2.28955,1.31162,1.23679,0,0.60784,0.59402,0.59423,0.43338,0.60193,0.58135,0.5796,0.39603,0.87753,2.49019,1.37504,1.08191,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,8322.86,0.70393,2.27274,1.29997,1.23329,0,0.59837,0.60016,0.59569,0.43739,0.59892,0.58222,0.58033,0.39787,0.86898,2.47792,1.36399,1.07667,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,9115.02,0.69934,2.2637,1.28834,1.23058,0,0.59341,0.6097,0.59976,0.44067,0.59565,0.591,0.58496,0.40139,0.86034,2.46523,1.35366,1.0691,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,9911.84,0.69319,2.25422,1.28047,1.22656,0,0.60818,0.60741,0.60547,0.44681,0.5995,0.59617,0.59026,0.4058,0.85561,2.45074,1.33754,1.06486,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,10706.4,0.69292,2.23799,1.27023,1.22518,0,0.60364,0.61633,0.60887,0.45022,0.59492,0.60619,0.59366,0.4082,0.85165,2.44076,1.33402,1.06151,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,11508.7,0.68776,2.22877,1.26267,1.2218,0,0.60935,0.61303,0.61082,0.45342,0.60572,0.59633,0.59485,0.41143,0.84743,2.43397,1.32977,1.05779,0,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,12301.8,0.68598,2.21613,1.25698,1.2201,0,0.61026,0.6142,0.61205,0.4547,0.61576,0.59049,0.59631,0.41273,0.84431,2.42885,1.32633,1.05531,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,13093.8,0.68336,2.21597,1.25188,1.21904,0,0.61368,0.61447,0.61408,0.45668,0.61944,0.59077,0.59772,0.4143,0.84167,2.42296,1.32298,1.05353,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,13895.4,0.67875,2.20422,1.24838,1.21566,0,0.61697,0.61575,0.61571,0.45899,0.62332,0.5904,0.59911,0.41652,0.83952,2.42003,1.32004,1.05167,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,14685.1,0.67977,2.19936,1.24287,1.21557,0,0.61732,0.6155,0.61675,0.45987,0.61815,0.59332,0.59988,0.41775,0.83845,2.41682,1.31775,1.05054,0,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,15476,0.67669,2.19573,1.23475,1.2149,0,0.62026,0.6143,0.61821,0.46214,0.62005,0.59671,0.60162,0.42009,0.8373,2.41339,1.31483,1.04956,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,16267.6,0.67891,2.19249,1.23842,1.2163,0,0.62175,0.61471,0.62026,0.46421,0.6145,0.60182,0.60315,0.42146,0.83647,2.40976,1.31215,1.04877,0,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,17059.4,0.67212,2.17773,1.22887,1.21234,0,0.61827,0.61958,0.62089,0.46534,0.62031,0.60227,0.60398,0.42245,0.83567,2.40685,1.30876,1.0478,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,17850.2,0.67419,2.18179,1.22653,1.21273,0,0.61843,0.6212,0.62278,0.46725,0.61832,0.60402,0.60543,0.42354,0.8335,2.40242,1.30355,1.04563,0,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,18641.5,0.67266,2.17851,1.22488,1.21258,0,0.62683,0.61968,0.62381,0.46903,0.61887,0.607,0.60667,0.42569,0.83244,2.39768,1.29888,1.04433,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,19434.1,0.67052,2.16508,1.2176,1.21062,0,0.62701,0.6213,0.62482,0.46999,0.62199,0.60612,0.60746,0.42595,0.83078,2.3938,1.29679,1.043,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,20228,0.66756,2.1564,1.21674,1.20903,0,0.62624,0.62459,0.62593,0.47156,0.61857,0.61254,0.60899,0.42802,0.82964,2.38985,1.29383,1.04236,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,21031.9,0.66644,2.1563,1.21252,1.20734,0,0.62858,0.62841,0.6276,0.47417,0.62133,0.61456,0.6105,0.42966,0.82786,2.38537,1.2893,1.04029,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
